Student Roll No.,Student Name,Email id,Course,Cohort,Year,Term-1,Term-2,Term-3,No. of JPT Mock Interviews attempted and scored equal or above 80%,Area Head Mock Interview Score,No. of Allocated Interview Attempts,"Categorise student overall (Outstanding, Good, Average, Needs Handholding)",Placed/Not Placed,"If placed, no. of interview attempts required for placement"
SPJ20224938,Student_177_Jan-23,student177@jan-23.spjain.edu,GMBA,Jan-23,2022,71.5,82.1,86.3,5,73.6,8,Average,Placed,4
SPJ20231966,Student_178_Jul-22,student178@jul-22.spjain.edu,GCGM,Jul-22,2023,71.8,93.5,83.6,3,73.1,3,Good,Placed,2
SPJ20242411,Student_179_Jan-22,student179@jan-22.spjain.edu,GCGM,Jan-22,2024,79.3,70.0,74.5,3,82.3,3,Average,Not Placed,0
SPJ20233230,Student_180_Jul-22,student180@jul-22.spjain.edu,MGB,Jul-22,2023,72.0,92.0,88.6,2,93.1,6,Good,Placed,5
SPJ20229260,Student_181_Jan-22,student181@jan-22.spjain.edu,GCGM,Jan-22,2022,81.6,90.2,84.8,8,75.8,6,Good,Placed,1
SPJ20244495,Student_182_Jan-23,student182@jan-23.spjain.edu,GMBA,Jan-23,2024,87.8,87.5,75.7,2,89.6,7,Good,Placed,5
SPJ20229432,Student_183_Jan-23,student183@jan-23.spjain.edu,MGB,Jan-23,2022,84.9,77.0,81.8,1,79.5,8,Average,Placed,5
SPJ20227607,Student_184_Jul-23,student184@jul-23.spjain.edu,GCGM,Jul-23,2022,90.1,90.3,72.1,1,74.9,5,Average,Placed,3
SPJ20224964,Student_185_Jul-24,student185@jul-24.spjain.edu,GCGM,Jul-24,2022,71.7,92.3,75.3,3,78.5,7,Average,Not Placed,0
SPJ20239977,Student_186_Jul-22,student186@jul-22.spjain.edu,MGB,Jul-22,2023,83.2,80.1,76.8,5,78.8,8,Good,Placed,2
SPJ20237268,Student_187_Jul-24,student187@jul-24.spjain.edu,GCGM,Jul-24,2023,92.3,93.3,82.6,7,85.5,4,Good,Placed,2
SPJ20231821,Student_188_Jan-23,student188@jan-23.spjain.edu,GMBA,Jan-23,2023,92.9,83.5,78.3,1,83.8,6,Average,Not Placed,0
SPJ20231557,Student_189_Jan-23,student189@jan-23.spjain.edu,MGB,Jan-23,2023,85.5,78.8,79.1,4,74.3,7,Good,Placed,1
SPJ20232633,Student_190_Jan-23,student190@jan-23.spjain.edu,GMBA,Jan-23,2023,72.7,82.3,87.5,1,84.2,7,Average,Placed,2
SPJ20238293,Student_191_Jan-22,student191@jan-22.spjain.edu,GCGM,Jan-22,2023,89.5,93.5,72.4,8,75.5,5,Good,Not Placed,0
SPJ20226163,Student_192_Jul-23,student192@jul-23.spjain.edu,GMBA,Jul-23,2022,87.2,74.4,85.8,4,86.8,5,Good,Not Placed,0
SPJ20226854,Student_193_Jul-24,student193@jul-24.spjain.edu,MGB,Jul-24,2022,87.1,95.0,92.3,8,84.2,6,Outstanding,Not Placed,0
SPJ20223999,Student_194_Jan-22,student194@jan-22.spjain.edu,GCGM,Jan-22,2022,91.5,89.0,87.5,3,80.9,3,Good,Placed,3
SPJ20242636,Student_195_Jul-24,student195@jul-24.spjain.edu,MGB,Jul-24,2024,87.2,76.5,85.8,5,80.0,6,Good,Placed,4
SPJ20221459,Student_196_Jul-24,student196@jul-24.spjain.edu,MGB,Jul-24,2022,91.1,81.6,83.8,5,89.7,7,Good,Not Placed,0
SPJ20221199,Student_197_Jul-24,student197@jul-24.spjain.edu,GCGM,Jul-24,2022,71.2,94.6,77.2,5,75.3,5,Good,Not Placed,0
SPJ20245656,Student_198_Jul-24,student198@jul-24.spjain.edu,GCGM,Jul-24,2024,73.0,76.9,73.2,0,81.9,6,Needs Handholding,Placed,5
SPJ20243855,Student_199_Jan-22,student199@jan-22.spjain.edu,GCGM,Jan-22,2024,77.5,85.3,72.3,2,88.2,5,Average,Not Placed,0
SPJ20231544,Student_200_Jan-23,student200@jan-23.spjain.edu,GMBA,Jan-23,2023,89.0,76.1,79.3,5,78.3,3,Good,Placed,1
SPJ20237338,Student_201_Jul-23,student201@jul-23.spjain.edu,GCGM,Jul-23,2023,84.2,84.4,86.1,4,86.3,7,Good,Placed,5
SPJ20234568,Student_202_Jul-23,student202@jul-23.spjain.edu,GMBA,Jul-23,2023,76.6,89.5,92.4,6,86.2,8,Good,Not Placed,0
SPJ20248511,Student_203_Jul-22,student203@jul-22.spjain.edu,GMBA,Jul-22,2024,91.2,77.7,87.5,5,92.7,3,Good,Placed,2
SPJ20236129,Student_204_Jul-22,student204@jul-22.spjain.edu,MGB,Jul-22,2023,78.2,75.4,85.8,1,71.3,4,Average,Not Placed,0
SPJ20233448,Student_205_Jul-22,student205@jul-22.spjain.edu,MGB,Jul-22,2023,74.6,72.6,83.4,2,78.5,8,Average,Placed,5
SPJ20237910,Student_206_Jul-22,student206@jul-22.spjain.edu,GCGM,Jul-22,2023,78.3,72.4,70.4,0,75.1,8,Needs Handholding,Not Placed,0
SPJ20233481,Student_207_Jan-22,student207@jan-22.spjain.edu,GMBA,Jan-22,2023,76.1,85.9,94.0,7,93.6,7,Good,Placed,1
SPJ20236473,Student_208_Jan-22,student208@jan-22.spjain.edu,GCGM,Jan-22,2023,79.8,75.5,73.4,1,71.9,8,Average,Placed,4
SPJ20246106,Student_209_Jan-24,student209@jan-24.spjain.edu,GMBA,Jan-24,2024,81.3,91.4,91.5,3,81.5,8,Good,Placed,4
SPJ20226795,Student_210_Jul-23,student210@jul-23.spjain.edu,GCGM,Jul-23,2022,75.8,91.1,80.5,2,88.4,8,Good,Placed,3
SPJ20222876,Student_211_Jul-22,student211@jul-22.spjain.edu,GMBA,Jul-22,2022,76.4,94.6,92.2,8,89.7,3,Good,Not Placed,0
SPJ20222106,Student_212_Jan-23,student212@jan-23.spjain.edu,GCGM,Jan-23,2022,75.6,88.8,70.2,2,76.8,4,Average,Placed,2
SPJ20229243,Student_213_Jan-24,student213@jan-24.spjain.edu,MGB,Jan-24,2022,83.1,92.7,88.1,8,85.3,3,Good,Placed,1
SPJ20248707,Student_214_Jul-22,student214@jul-22.spjain.edu,MGB,Jul-22,2024,79.3,83.8,72.0,5,86.0,7,Average,Not Placed,0
SPJ20248843,Student_215_Jul-24,student215@jul-24.spjain.edu,GCGM,Jul-24,2024,72.4,83.9,71.1,1,80.8,5,Average,Not Placed,0
SPJ20248857,Student_216_Jul-24,student216@jul-24.spjain.edu,GMBA,Jul-24,2024,91.5,71.7,94.5,7,94.7,7,Good,Not Placed,0
SPJ20233662,Student_217_Jan-24,student217@jan-24.spjain.edu,GCGM,Jan-24,2023,78.3,92.1,91.7,8,79.3,7,Good,Placed,4
SPJ20225545,Student_218_Jan-22,student218@jan-22.spjain.edu,GCGM,Jan-22,2022,83.8,85.4,83.4,2,76.9,4,Good,Placed,1
SPJ20234215,Student_219_Jul-23,student219@jul-23.spjain.edu,MGB,Jul-23,2023,86.4,88.3,93.1,7,94.2,3,Good,Placed,2
SPJ20243445,Student_220_Jan-22,student220@jan-22.spjain.edu,GMBA,Jan-22,2024,73.2,85.7,70.3,1,79.1,3,Average,Placed,3
SPJ20224177,Student_221_Jul-22,student221@jul-22.spjain.edu,GCGM,Jul-22,2022,87.9,82.5,91.3,4,91.1,3,Good,Placed,3
SPJ20241941,Student_222_Jul-22,student222@jul-22.spjain.edu,GCGM,Jul-22,2024,72.3,78.4,71.2,2,71.9,3,Average,Not Placed,0
SPJ20244674,Student_223_Jul-24,student223@jul-24.spjain.edu,MGB,Jul-24,2024,75.8,90.7,81.4,3,80.6,7,Good,Placed,5
SPJ20242212,Student_224_Jan-22,student224@jan-22.spjain.edu,GCGM,Jan-22,2024,70.6,74.0,85.0,4,80.2,8,Average,Not Placed,0
SPJ20235319,Student_225_Jan-23,student225@jan-23.spjain.edu,MGB,Jan-23,2023,91.6,71.0,93.6,7,90.4,7,Good,Placed,1
SPJ20244326,Student_226_Jul-24,student226@jul-24.spjain.edu,GCGM,Jul-24,2024,90.5,71.7,79.7,2,73.6,3,Good,Not Placed,0
SPJ20237443,Student_227_Jul-23,student227@jul-23.spjain.edu,GCGM,Jul-23,2023,70.3,71.4,80.1,2,83.3,6,Average,Not Placed,0
SPJ20235967,Student_228_Jan-22,student228@jan-22.spjain.edu,MGB,Jan-22,2023,75.8,79.9,73.8,5,76.7,6,Average,Placed,1
SPJ20234681,Student_229_Jan-23,student229@jan-23.spjain.edu,GMBA,Jan-23,2023,77.5,70.9,94.1,4,90.4,8,Good,Placed,2
SPJ20232924,Student_230_Jul-23,student230@jul-23.spjain.edu,GMBA,Jul-23,2023,70.2,86.2,79.4,4,72.4,4,Average,Placed,4
SPJ20225367,Student_231_Jan-23,student231@jan-23.spjain.edu,GCGM,Jan-23,2022,76.4,89.6,86.6,3,93.0,7,Good,Not Placed,0
SPJ20222607,Student_232_Jul-22,student232@jul-22.spjain.edu,GMBA,Jul-22,2022,87.0,91.3,85.9,3,88.7,6,Good,Not Placed,0
SPJ20235319,Student_233_Jan-24,student233@jan-24.spjain.edu,GMBA,Jan-24,2023,73.7,76.0,77.8,1,79.0,7,Average,Not Placed,0
SPJ20241943,Student_234_Jul-22,student234@jul-22.spjain.edu,GCGM,Jul-22,2024,78.5,76.0,73.3,3,84.9,4,Average,Not Placed,0
SPJ20229667,Student_235_Jan-24,student235@jan-24.spjain.edu,MGB,Jan-24,2022,75.6,76.5,75.1,1,81.9,4,Average,Placed,3
SPJ20225400,Student_236_Jul-23,student236@jul-23.spjain.edu,MGB,Jul-23,2022,79.3,88.0,79.2,4,87.8,6,Good,Not Placed,0
SPJ20236906,Student_237_Jan-23,student237@jan-23.spjain.edu,MGB,Jan-23,2023,80.0,87.8,88.0,5,89.7,8,Good,Placed,2
SPJ20237263,Student_238_Jul-23,student238@jul-23.spjain.edu,GCGM,Jul-23,2023,84.1,94.8,76.8,6,93.8,7,Good,Not Placed,0
SPJ20221129,Student_239_Jul-23,student239@jul-23.spjain.edu,GCGM,Jul-23,2022,92.6,73.2,74.4,3,77.5,7,Good,Not Placed,0
SPJ20247081,Student_240_Jan-23,student240@jan-23.spjain.edu,GMBA,Jan-23,2024,92.9,77.7,72.2,3,74.6,6,Good,Placed,3
SPJ20232944,Student_241_Jul-23,student241@jul-23.spjain.edu,GMBA,Jul-23,2023,77.6,81.2,72.8,2,67.5,5,Average,Placed,3
SPJ20237806,Student_242_Jul-22,student242@jul-22.spjain.edu,MGB,Jul-22,2023,73.1,90.3,71.3,3,81.3,7,Average,Placed,2
SPJ20238502,Student_243_Jan-23,student243@jan-23.spjain.edu,GCGM,Jan-23,2023,92.2,75.3,90.2,6,87.2,4,Good,Not Placed,0
SPJ20243736,Student_244_Jan-22,student244@jan-22.spjain.edu,GCGM,Jan-22,2024,92.6,70.7,86.1,1,83.1,7,Average,Not Placed,0
SPJ20223887,Student_245_Jan-22,student245@jan-22.spjain.edu,GCGM,Jan-22,2022,79.2,83.7,72.3,5,74.0,4,Average,Placed,3
SPJ20231414,Student_246_Jan-24,student246@jan-24.spjain.edu,MGB,Jan-24,2023,76.5,91.1,86.3,4,75.6,6,Good,Placed,2
SPJ20238044,Student_247_Jan-24,student247@jan-24.spjain.edu,GMBA,Jan-24,2023,89.9,91.9,90.5,4,98.9,6,Outstanding,Placed,5
SPJ20236850,Student_248_Jul-24,student248@jul-24.spjain.edu,MGB,Jul-24,2023,80.2,74.9,70.1,3,83.3,8,Average,Not Placed,0
SPJ20248927,Student_249_Jul-23,student249@jul-23.spjain.edu,GCGM,Jul-23,2024,71.6,93.2,79.2,5,84.5,3,Good,Placed,1
SPJ20244714,Student_250_Jul-22,student250@jul-22.spjain.edu,GMBA,Jul-22,2024,73.2,77.7,78.0,2,68.7,3,Average,Not Placed,0
SPJ20224251,Student_251_Jul-24,student251@jul-24.spjain.edu,GMBA,Jul-24,2022,89.2,75.4,79.9,1,81.4,4,Average,Not Placed,0
SPJ20238940,Student_252_Jul-22,student252@jul-22.spjain.edu,GCGM,Jul-22,2023,85.6,78.8,73.9,4,72.9,8,Average,Placed,2
SPJ20228253,Student_253_Jan-23,student253@jan-23.spjain.edu,GCGM,Jan-23,2022,88.0,94.2,78.8,8,90.6,4,Good,Placed,2
SPJ20244638,Student_254_Jul-24,student254@jul-24.spjain.edu,GCGM,Jul-24,2024,74.8,83.1,85.2,1,76.7,6,Average,Not Placed,0
SPJ20228522,Student_255_Jul-22,student255@jul-22.spjain.edu,MGB,Jul-22,2022,75.7,80.7,82.7,1,79.1,3,Average,Not Placed,0
SPJ20221231,Student_256_Jan-24,student256@jan-24.spjain.edu,GCGM,Jan-24,2022,79.7,82.4,94.0,7,91.5,4,Good,Placed,1
SPJ20223996,Student_257_Jan-22,student257@jan-22.spjain.edu,MGB,Jan-22,2022,79.9,78.9,91.1,5,77.7,7,Good,Not Placed,0
SPJ20237595,Student_258_Jan-22,student258@jan-22.spjain.edu,GMBA,Jan-22,2023,86.7,91.0,80.9,8,91.4,7,Good,Not Placed,0
SPJ20239328,Student_259_Jul-22,student259@jul-22.spjain.edu,MGB,Jul-22,2023,81.1,76.6,73.6,2,86.7,4,Average,Placed,2
SPJ20223527,Student_260_Jul-24,student260@jul-24.spjain.edu,GCGM,Jul-24,2022,88.9,77.3,94.9,5,88.2,8,Good,Not Placed,0
SPJ20246530,Student_261_Jul-24,student261@jul-24.spjain.edu,GMBA,Jul-24,2024,85.8,74.6,88.4,3,81.0,6,Good,Placed,5
SPJ20249709,Student_262_Jan-23,student262@jan-23.spjain.edu,GCGM,Jan-23,2024,71.2,79.7,90.8,4,87.9,4,Good,Placed,1
SPJ20235995,Student_263_Jan-23,student263@jan-23.spjain.edu,GCGM,Jan-23,2023,87.1,82.3,72.6,2,70.8,8,Good,Placed,5
SPJ20241939,Student_264_Jul-24,student264@jul-24.spjain.edu,GCGM,Jul-24,2024,78.1,70.3,86.5,2,83.8,4,Average,Not Placed,0
SPJ20248801,Student_265_Jan-23,student265@jan-23.spjain.edu,GMBA,Jan-23,2024,80.0,84.3,88.0,3,81.8,5,Good,Not Placed,0
SPJ20235385,Student_266_Jan-23,student266@jan-23.spjain.edu,GCGM,Jan-23,2023,76.3,71.8,74.4,0,71.5,6,Needs Handholding,Not Placed,0
SPJ20244465,Student_267_Jan-22,student267@jan-22.spjain.edu,GCGM,Jan-22,2024,89.2,86.8,78.2,3,75.1,8,Good,Placed,4
SPJ20238120,Student_268_Jan-23,student268@jan-23.spjain.edu,GMBA,Jan-23,2023,83.7,78.9,74.6,4,85.1,4,Average,Placed,2
SPJ20224306,Student_269_Jul-24,student269@jul-24.spjain.edu,GCGM,Jul-24,2022,71.8,91.7,82.4,2,86.5,3,Good,Placed,1
SPJ20249572,Student_270_Jul-22,student270@jul-22.spjain.edu,GMBA,Jul-22,2024,80.7,93.7,80.1,5,86.2,6,Good,Placed,5
SPJ20221463,Student_271_Jul-22,student271@jul-22.spjain.edu,MGB,Jul-22,2022,74.1,82.3,82.1,1,85.5,4,Average,Placed,4
SPJ20244407,Student_272_Jan-23,student272@jan-23.spjain.edu,MGB,Jan-23,2024,84.4,83.3,85.5,5,82.8,4,Good,Not Placed,0
SPJ20246387,Student_273_Jul-24,student273@jul-24.spjain.edu,GMBA,Jul-24,2024,92.5,87.5,77.7,3,87.9,8,Good,Not Placed,0
SPJ20223597,Student_274_Jul-22,student274@jul-22.spjain.edu,MGB,Jul-22,2022,93.8,86.8,89.6,8,86.8,4,Outstanding,Placed,1
SPJ20228472,Student_275_Jan-24,student275@jan-24.spjain.edu,GCGM,Jan-24,2022,78.8,70.6,78.7,4,71.5,5,Average,Not Placed,0
SPJ20229133,Student_276_Jul-23,student276@jul-23.spjain.edu,MGB,Jul-23,2022,87.8,70.0,80.5,5,78.7,5,Average,Placed,4
SPJ20247989,Student_277_Jan-23,student277@jan-23.spjain.edu,MGB,Jan-23,2024,81.2,81.3,77.7,1,78.5,4,Average,Placed,3
SPJ20237326,Student_278_Jan-22,student278@jan-22.spjain.edu,GMBA,Jan-22,2023,91.4,70.8,80.2,3,77.1,4,Good,Placed,1
SPJ20233250,Student_279_Jan-24,student279@jan-24.spjain.edu,MGB,Jan-24,2023,85.4,94.1,81.0,3,94.5,7,Good,Not Placed,0
SPJ20232804,Student_280_Jul-24,student280@jul-24.spjain.edu,GMBA,Jul-24,2023,75.6,75.1,87.4,5,78.7,3,Average,Placed,2
SPJ20229593,Student_281_Jan-24,student281@jan-24.spjain.edu,GCGM,Jan-24,2022,81.6,86.9,80.7,2,92.8,5,Good,Not Placed,0
SPJ20245288,Student_282_Jan-24,student282@jan-24.spjain.edu,GMBA,Jan-24,2024,89.1,85.3,78.7,3,82.6,6,Good,Placed,3
SPJ20225007,Student_283_Jul-24,student283@jul-24.spjain.edu,MGB,Jul-24,2022,77.7,76.4,71.8,3,77.6,6,Average,Not Placed,0
SPJ20245322,Student_284_Jul-22,student284@jul-22.spjain.edu,GMBA,Jul-22,2024,93.6,76.5,84.5,3,79.4,5,Good,Not Placed,0
SPJ20248815,Student_285_Jan-24,student285@jan-24.spjain.edu,GCGM,Jan-24,2024,90.9,87.5,74.3,2,75.2,5,Good,Placed,2
SPJ20242697,Student_286_Jul-22,student286@jul-22.spjain.edu,GMBA,Jul-22,2024,86.7,83.3,89.3,7,88.1,5,Good,Placed,2
SPJ20236697,Student_287_Jan-24,student287@jan-24.spjain.edu,GCGM,Jan-24,2023,73.2,87.3,72.9,4,83.0,6,Average,Placed,5
SPJ20241703,Student_288_Jan-23,student288@jan-23.spjain.edu,GCGM,Jan-23,2024,87.7,80.3,78.4,5,74.8,4,Good,Placed,1
SPJ20243317,Student_289_Jan-23,student289@jan-23.spjain.edu,MGB,Jan-23,2024,80.8,77.6,93.2,2,88.4,4,Good,Placed,1
SPJ20229663,Student_290_Jan-23,student290@jan-23.spjain.edu,GMBA,Jan-23,2022,73.4,72.9,88.3,4,74.9,6,Average,Not Placed,0
SPJ20232292,Student_291_Jan-24,student291@jan-24.spjain.edu,GMBA,Jan-24,2023,74.8,84.6,85.7,4,90.9,7,Good,Not Placed,0
SPJ20224625,Student_292_Jan-24,student292@jan-24.spjain.edu,GMBA,Jan-24,2022,93.6,76.5,79.0,3,76.8,8,Good,Placed,4
SPJ20223581,Student_293_Jan-22,student293@jan-22.spjain.edu,GCGM,Jan-22,2022,93.4,83.8,71.2,2,78.7,4,Good,Placed,4
SPJ20221306,Student_294_Jul-24,student294@jul-24.spjain.edu,GMBA,Jul-24,2022,70.8,76.2,77.8,2,68.6,6,Average,Placed,1
SPJ20241535,Student_295_Jul-22,student295@jul-22.spjain.edu,MGB,Jul-22,2024,81.3,84.5,82.6,4,88.4,7,Good,Not Placed,0
SPJ20233506,Student_296_Jul-24,student296@jul-24.spjain.edu,GMBA,Jul-24,2023,87.8,92.4,84.2,5,85.8,7,Good,Not Placed,0
SPJ20245949,Student_297_Jan-22,student297@jan-22.spjain.edu,GMBA,Jan-22,2024,86.6,82.2,92.2,3,86.3,4,Good,Not Placed,0
SPJ20227916,Student_298_Jan-23,student298@jan-23.spjain.edu,GCGM,Jan-23,2022,73.9,83.4,89.8,3,91.3,4,Good,Placed,3
SPJ20224830,Student_299_Jan-23,student299@jan-23.spjain.edu,MGB,Jan-23,2022,81.2,78.4,91.8,2,77.8,4,Good,Placed,2
SPJ20224232,Student_300_Jul-22,student300@jul-22.spjain.edu,GCGM,Jul-22,2022,73.4,80.0,94.8,2,76.8,3,Good,Placed,1
SPJ20231175,Student_301_Jul-23,student301@jul-23.spjain.edu,MGB,Jul-23,2023,81.0,88.4,73.1,4,86.5,5,Good,Not Placed,0
SPJ20227065,Student_302_Jul-23,student302@jul-23.spjain.edu,MGB,Jul-23,2022,89.4,85.2,78.7,3,79.4,8,Good,Placed,3
SPJ20223795,Student_303_Jan-22,student303@jan-22.spjain.edu,GCGM,Jan-22,2022,93.5,74.3,75.8,5,82.3,5,Good,Not Placed,0
SPJ20221268,Student_304_Jan-22,student304@jan-22.spjain.edu,GCGM,Jan-22,2022,76.8,92.9,89.8,3,79.1,5,Good,Placed,5
SPJ20245242,Student_305_Jul-23,student305@jul-23.spjain.edu,GCGM,Jul-23,2024,74.1,74.1,89.9,3,70.4,5,Average,Placed,4
SPJ20237781,Student_306_Jan-24,student306@jan-24.spjain.edu,GMBA,Jan-24,2023,88.2,94.0,90.8,6,93.8,8,Outstanding,Placed,3
SPJ20243524,Student_307_Jan-24,student307@jan-24.spjain.edu,GCGM,Jan-24,2024,93.4,74.6,76.6,4,78.7,7,Good,Placed,4
SPJ20246623,Student_308_Jul-23,student308@jul-23.spjain.edu,GMBA,Jul-23,2024,73.7,82.6,93.3,2,76.3,7,Good,Placed,5
SPJ20248395,Student_309_Jul-23,student309@jul-23.spjain.edu,MGB,Jul-23,2024,77.0,76.4,82.7,2,87.6,6,Average,Placed,2
SPJ20227814,Student_310_Jan-22,student310@jan-22.spjain.edu,GMBA,Jan-22,2022,72.5,72.1,94.5,1,80.3,7,Average,Placed,3
SPJ20224695,Student_311_Jan-24,student311@jan-24.spjain.edu,GMBA,Jan-24,2022,86.7,92.3,92.5,6,97.6,6,Outstanding,Placed,1
SPJ20232792,Student_312_Jul-22,student312@jul-22.spjain.edu,GMBA,Jul-22,2023,72.6,94.3,85.4,3,77.7,5,Good,Not Placed,0
SPJ20223679,Student_313_Jan-22,student313@jan-22.spjain.edu,MGB,Jan-22,2022,74.4,92.6,93.6,8,82.0,4,Good,Placed,2
SPJ20237266,Student_314_Jan-23,student314@jan-23.spjain.edu,GCGM,Jan-23,2023,73.7,72.8,74.4,2,77.4,5,Average,Not Placed,0
SPJ20245992,Student_315_Jul-22,student315@jul-22.spjain.edu,GCGM,Jul-22,2024,88.4,87.3,90.4,4,98.2,5,Good,Placed,1
SPJ20237185,Student_316_Jan-24,student316@jan-24.spjain.edu,GMBA,Jan-24,2023,82.7,84.5,78.3,3,81.1,4,Good,Placed,3
SPJ20233976,Student_317_Jul-24,student317@jul-24.spjain.edu,GMBA,Jul-24,2023,71.8,89.2,77.8,4,79.5,7,Average,Not Placed,0
SPJ20248768,Student_318_Jul-23,student318@jul-23.spjain.edu,MGB,Jul-23,2024,86.4,74.0,91.9,3,82.4,5,Good,Placed,4
SPJ20223322,Student_319_Jul-22,student319@jul-22.spjain.edu,MGB,Jul-22,2022,92.8,84.2,70.4,1,90.2,5,Average,Not Placed,0
SPJ20224577,Student_320_Jul-22,student320@jul-22.spjain.edu,GMBA,Jul-22,2022,86.4,84.3,93.2,4,89.8,3,Good,Placed,2
SPJ20247694,Student_321_Jul-22,student321@jul-22.spjain.edu,GCGM,Jul-22,2024,77.9,88.9,87.5,4,79.5,4,Good,Placed,2
SPJ20249427,Student_322_Jan-24,student322@jan-24.spjain.edu,GCGM,Jan-24,2024,77.4,89.1,74.5,4,77.9,5,Good,Not Placed,0
SPJ20241662,Student_323_Jul-24,student323@jul-24.spjain.edu,GCGM,Jul-24,2024,83.8,72.4,75.1,1,71.6,7,Average,Not Placed,0
SPJ20242546,Student_324_Jan-23,student324@jan-23.spjain.edu,GCGM,Jan-23,2024,83.4,91.3,87.6,4,78.7,8,Good,Placed,2
SPJ20239903,Student_325_Jan-22,student325@jan-22.spjain.edu,GCGM,Jan-22,2023,88.7,82.8,92.8,3,92.3,7,Good,Placed,4
SPJ20231958,Student_326_Jan-24,student326@jan-24.spjain.edu,MGB,Jan-24,2023,94.8,77.4,70.2,5,73.0,5,Good,Placed,5
SPJ20238245,Student_327_Jan-23,student327@jan-23.spjain.edu,MGB,Jan-23,2023,88.8,90.9,86.8,3,94.7,4,Good,Placed,4
SPJ20237542,Student_328_Jan-24,student328@jan-24.spjain.edu,GMBA,Jan-24,2023,76.1,77.8,78.2,4,80.1,5,Average,Not Placed,0
SPJ20248145,Student_329_Jan-23,student329@jan-23.spjain.edu,GMBA,Jan-23,2024,73.0,80.9,73.2,3,78.9,3,Average,Not Placed,0
SPJ20222847,Student_330_Jul-22,student330@jul-22.spjain.edu,GCGM,Jul-22,2022,74.8,70.4,87.3,1,73.2,7,Average,Placed,2
SPJ20238315,Student_331_Jul-24,student331@jul-24.spjain.edu,MGB,Jul-24,2023,93.4,92.9,84.2,8,97.5,3,Outstanding,Placed,3
SPJ20242816,Student_332_Jul-23,student332@jul-23.spjain.edu,GCGM,Jul-23,2024,85.2,94.4,76.9,8,86.1,8,Good,Placed,2
SPJ20222022,Student_333_Jan-24,student333@jan-24.spjain.edu,GMBA,Jan-24,2022,71.4,91.9,80.6,1,86.0,8,Average,Placed,1
SPJ20221760,Student_334_Jan-23,student334@jan-23.spjain.edu,GCGM,Jan-23,2022,88.7,83.5,74.8,4,76.1,3,Good,Placed,3
SPJ20237847,Student_335_Jul-22,student335@jul-22.spjain.edu,MGB,Jul-22,2023,76.1,83.2,75.9,1,87.1,7,Average,Not Placed,0
SPJ20248145,Student_336_Jul-22,student336@jul-22.spjain.edu,GMBA,Jul-22,2024,89.5,89.2,71.6,4,81.4,8,Good,Placed,4
SPJ20224339,Student_337_Jul-22,student337@jul-22.spjain.edu,GCGM,Jul-22,2022,91.1,94.8,75.2,7,89.2,6,Good,Not Placed,0
SPJ20237594,Student_338_Jul-23,student338@jul-23.spjain.edu,GCGM,Jul-23,2023,92.5,72.1,78.4,1,88.7,7,Average,Not Placed,0
SPJ20239287,Student_339_Jul-23,student339@jul-23.spjain.edu,GCGM,Jul-23,2023,72.6,80.9,77.6,1,67.0,3,Average,Placed,3
SPJ20228554,Student_340_Jul-22,student340@jul-22.spjain.edu,GCGM,Jul-22,2022,87.9,73.8,86.8,5,87.5,4,Good,Placed,2
SPJ20242556,Student_341_Jan-24,student341@jan-24.spjain.edu,GMBA,Jan-24,2024,91.4,83.2,78.1,1,82.4,6,Average,Not Placed,0
SPJ20235052,Student_342_Jan-22,student342@jan-22.spjain.edu,GMBA,Jan-22,2023,88.9,88.1,90.6,4,79.3,7,Good,Placed,3
SPJ20227864,Student_343_Jan-24,student343@jan-24.spjain.edu,GCGM,Jan-24,2022,81.7,81.1,80.2,4,89.4,8,Good,Placed,5
SPJ20247402,Student_344_Jan-24,student344@jan-24.spjain.edu,GMBA,Jan-24,2024,76.2,87.3,78.7,4,74.3,8,Good,Placed,2
SPJ20243266,Student_345_Jan-23,student345@jan-23.spjain.edu,MGB,Jan-23,2024,93.8,80.0,79.6,2,86.7,5,Good,Placed,1
SPJ20228129,Student_346_Jul-23,student346@jul-23.spjain.edu,MGB,Jul-23,2022,77.7,82.7,84.1,2,78.4,4,Good,Not Placed,0
SPJ20228785,Student_347_Jul-24,student347@jul-24.spjain.edu,GMBA,Jul-24,2022,89.1,88.5,92.2,7,97.1,3,Good,Placed,3
SPJ20231063,Student_348_Jan-24,student348@jan-24.spjain.edu,GCGM,Jan-24,2023,80.6,94.7,77.6,4,85.8,6,Good,Placed,5
SPJ20232233,Student_349_Jan-24,student349@jan-24.spjain.edu,GMBA,Jan-24,2023,77.7,87.0,76.4,3,84.1,7,Good,Placed,3
SPJ20244379,Student_350_Jul-22,student350@jul-22.spjain.edu,GMBA,Jul-22,2024,90.0,91.2,72.8,4,79.5,6,Good,Placed,3
SPJ20246177,Student_351_Jul-24,student351@jul-24.spjain.edu,MGB,Jul-24,2024,83.4,83.3,94.9,5,92.8,7,Good,Placed,3
SPJ20223687,Student_352_Jan-24,student352@jan-24.spjain.edu,GCGM,Jan-24,2022,86.6,82.9,79.9,1,79.6,4,Average,Placed,1
SPJ20235139,Student_353_Jul-22,student353@jul-22.spjain.edu,MGB,Jul-22,2023,71.0,80.0,83.8,1,68.6,7,Average,Placed,5
SPJ20226404,Student_354_Jan-24,student354@jan-24.spjain.edu,MGB,Jan-24,2022,89.3,70.0,91.9,5,84.8,8,Good,Not Placed,0
